stage	character	object	generator	profile_format	scorer	all_dimensions_r_to_name_fact_target	all_dimensions_mae	hexaco_r_to_name_fact_target	hexaco_mae	beyond_hexaco_r_to_name_fact_target	beyond_hexaco_mae
profile	Haruki Minamoto	qwen_37_max_interwoven_bio	Qwen 3.7 Max	interwoven biography	Gemini 3 Flash	0.854	0.439	0.892	0.400	0.974	0.487
profile	Haruki Minamoto	minimax_m27_interwoven_bio	MiniMax M2.7	interwoven biography	Gemini 3 Flash	0.788	0.476	0.824	0.394	0.915	0.573
profile	Haruki Minamoto	minimax_m27_psych_only	MiniMax M2.7	psychometric-only	Gemini 3 Flash	0.868	0.539	0.880	0.411	0.969	0.693
profile	Haruki Minamoto	glm_5_1_interwoven_bio	GLM 5.1	interwoven biography	Gemini 3 Flash	0.923	0.327	0.888	0.311	0.980	0.347
profile	Haruki Minamoto	qwen_37_max_psych_only	Qwen 3.7 Max	psychometric-only	Gemini 3 Flash	0.954	0.437	0.983	0.434	0.923	0.440
profile	Haruki Minamoto	kimi_k26_interwoven_bio	Kimi K2.6	interwoven biography	Gemini 3 Flash	0.874	0.409	0.793	0.378	0.981	0.447
profile	Roxy Saint-Clair	kimi_k26_psych_only	Kimi K2.6	psychometric-only	Gemini 3 Flash	0.812	0.703	0.840	0.711	0.924	0.694
profile	Roxy Saint-Clair	kimi_k26_interwoven_bio	Kimi K2.6	interwoven biography	Gemini 3 Flash	0.865	0.391	0.845	0.378	0.886	0.407
profile	Roxy Saint-Clair	mimo_v25_pro_interwoven_bio	MiMo v2.5 Pro	interwoven biography	Gemini 3 Flash	0.718	0.512	0.886	0.500	0.732	0.527
profile	Roxy Saint-Clair	glm_5_1_psych_only	GLM 5.1	psychometric-only	Gemini 3 Flash	0.930	0.727	0.915	0.694	0.954	0.767
profile	Roxy Saint-Clair	minimax_m27_interwoven_bio	MiniMax M2.7	interwoven biography	Gemini 3 Flash	0.950	0.664	0.939	0.661	0.967	0.667
profile	Roxy Saint-Clair	minimax_m27_psych_only	MiniMax M2.7	psychometric-only	Gemini 3 Flash	0.868	0.700	0.871	0.778	0.896	0.607
profile	Roxy Saint-Clair	qwen_37_max_psych_only	Qwen 3.7 Max	psychometric-only	Gemini 3 Flash	0.752	0.776	0.792	0.744	0.925	0.814
profile	Roxy Saint-Clair	qwen_37_max_interwoven_bio	Qwen 3.7 Max	interwoven biography	Gemini 3 Flash	0.797	0.849	0.976	0.844	0.941	0.854
profile	Roxy Saint-Clair	mimo_v25_pro_psych_only	MiMo v2.5 Pro	psychometric-only	Gemini 3 Flash	0.948	0.421	0.981	0.411	0.974	0.434
profile	Roxy Saint-Clair	glm_5_1_interwoven_bio	GLM 5.1	interwoven biography	Gemini 3 Flash	0.922	0.558	0.921	0.494	0.961	0.634
lsi	Cillian Frost	kimi_k26_psych_only	Kimi K2.6	psychometric-only	Gemini 3 Flash	0.913	0.703	0.932	0.561	0.996	0.873
lsi	Cillian Frost	glm_5_1_psych_only	GLM 5.1	psychometric-only	Gemini 3 Flash	0.783	0.818	0.875	0.655	0.158	1.013
lsi	Cillian Frost	minimax_m27_psych_only	MiniMax M2.7	psychometric-only	Gemini 3 Flash	0.817	0.727	0.885	0.522	0.625	0.973
lsi	Cillian Frost	kimi_k26_interwoven_bio	Kimi K2.6	interwoven biography	Gemini 3 Flash	0.901	0.518	0.973	0.422	0.399	0.633
lsi	Cillian Frost	mimo_v25_pro_psych_only	MiMo v2.5 Pro	psychometric-only	Gemini 3 Flash	0.891	0.464	0.915	0.455	0.808	0.473
lsi	Cillian Frost	qwen_37_max_interwoven_bio	Qwen 3.7 Max	interwoven biography	Gemini 3 Flash	0.909	0.673	0.958	0.505	0.784	0.873
lsi	Cillian Frost	mimo_v25_pro_interwoven_bio	MiMo v2.5 Pro	interwoven biography	Gemini 3 Flash	0.958	0.518	0.981	0.389	0.951	0.673
lsi	Cillian Frost	qwen_37_max_psych_only	Qwen 3.7 Max	psychometric-only	Gemini 3 Flash	0.886	0.791	0.947	0.605	0.706	1.013
lsi	Cillian Frost	glm_5_1_interwoven_bio	GLM 5.1	interwoven biography	Gemini 3 Flash	0.771	0.636	0.894	0.706	-0.360	0.553
lsi	Cillian Frost	minimax_m27_interwoven_bio	MiniMax M2.7	interwoven biography	Gemini 3 Flash	0.937	0.473	0.969	0.472	0.625	0.473
lsi	Haruki Minamoto	mimo_v25_pro_psych_only	MiMo v2.5 Pro	psychometric-only	Gemini 3 Flash	0.760	0.370	0.821	0.383	0.889	0.353
lsi	Haruki Minamoto	kimi_k26_psych_only	Kimi K2.6	psychometric-only	Gemini 3 Flash	0.893	0.309	0.902	0.284	0.930	0.340
lsi	Haruki Minamoto	minimax_m27_psych_only	MiniMax M2.7	psychometric-only	Gemini 3 Flash	0.633	0.515	0.828	0.484	0.556	0.553
lsi	Haruki Minamoto	glm_5_1_interwoven_bio	GLM 5.1	interwoven biography	Gemini 3 Flash	0.795	0.433	0.812	0.511	0.930	0.340
lsi	Haruki Minamoto	kimi_k26_interwoven_bio	Kimi K2.6	interwoven biography	Gemini 3 Flash	0.805	0.364	0.861	0.394	0.957	0.327
lsi	Haruki Minamoto	minimax_m27_interwoven_bio	MiniMax M2.7	interwoven biography	Gemini 3 Flash	0.789	0.355	0.883	0.328	0.884	0.387
lsi	Haruki Minamoto	mimo_v25_pro_interwoven_bio	MiMo v2.5 Pro	interwoven biography	Gemini 3 Flash	0.786	0.373	0.875	0.367	0.771	0.380
lsi	Haruki Minamoto	qwen_37_max_interwoven_bio	Qwen 3.7 Max	interwoven biography	Gemini 3 Flash	0.915	0.361	0.924	0.317	0.927	0.413
lsi	Haruki Minamoto	qwen_37_max_psych_only	Qwen 3.7 Max	psychometric-only	Gemini 3 Flash	0.878	0.367	0.903	0.278	0.978	0.473
lsi	Haruki Minamoto	glm_5_1_psych_only	GLM 5.1	psychometric-only	Gemini 3 Flash	0.545	0.618	0.773	0.494	0.339	0.767
lsi	Roxy Saint-Clair	glm_5_1_interwoven_bio	GLM 5.1	interwoven biography	Gemini 3 Flash	0.774	0.630	0.759	0.650	0.972	0.607
lsi	Roxy Saint-Clair	mimo_v25_pro_psych_only	MiMo v2.5 Pro	psychometric-only	Gemini 3 Flash	0.897	0.430	0.947	0.450	0.994	0.407
lsi	Roxy Saint-Clair	kimi_k26_psych_only	Kimi K2.6	psychometric-only	Gemini 3 Flash	0.846	0.512	0.898	0.550	0.985	0.467
lsi	Roxy Saint-Clair	minimax_m27_psych_only	MiniMax M2.7	psychometric-only	Gemini 3 Flash	0.749	0.509	0.886	0.533	0.839	0.480
lsi	Roxy Saint-Clair	kimi_k26_interwoven_bio	Kimi K2.6	interwoven biography	Gemini 3 Flash	0.886	0.500	0.866	0.494	0.918	0.507
lsi	Roxy Saint-Clair	mimo_v25_pro_interwoven_bio	MiMo v2.5 Pro	interwoven biography	Gemini 3 Flash	0.874	0.409	0.961	0.483	0.954	0.320
lsi	Roxy Saint-Clair	minimax_m27_interwoven_bio	MiniMax M2.7	interwoven biography	Gemini 3 Flash	0.827	0.512	0.850	0.500	0.933	0.527
lsi	Roxy Saint-Clair	qwen_37_max_interwoven_bio	Qwen 3.7 Max	interwoven biography	Gemini 3 Flash	0.883	0.730	0.815	0.678	0.960	0.794
lsi	Roxy Saint-Clair	glm_5_1_psych_only	GLM 5.1	psychometric-only	Gemini 3 Flash	0.791	0.694	0.866	0.567	0.836	0.847
lsi	Roxy Saint-Clair	qwen_37_max_psych_only	Qwen 3.7 Max	psychometric-only	Gemini 3 Flash	0.792	0.867	0.876	0.794	0.924	0.954
