stage	generator_slug	generator	model_id	variant	variant_label	trait	behavior_metric	n	r	abs_r
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	question_rate_per_1k	50	-0.22126043098859577	0.22126043098859577
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	section_words_mean	50	-0.2573754927167064	0.2573754927167064
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	section_words_sd	50	-0.05745930162199294	0.05745930162199294
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	section_words_cv	50	0.122476141362789	0.122476141362789
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	total_words	50	-0.14701069497382951	0.14701069497382951
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	unique_word_rate	50	0.06922012927813549	0.06922012927813549
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	first_person_rate_per_1k	50	-0.027590140802698285	0.027590140802698285
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	we_rate_per_1k	50	0.3722320699481045	0.3722320699481045
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	social_word_rate_per_1k	50	0.22337772620327795	0.22337772620327795
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	exclamation_rate_per_1k	50	-0.12302721169270164	0.12302721169270164
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	question_rate_per_1k	50	0.12450930183193255	0.12450930183193255
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	section_words_mean	50	-0.14701069497382951	0.14701069497382951
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	section_words_sd	50	-0.09537073563584199	0.09537073563584199
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_EX_mean	section_words_cv	50	-0.07140266505417614	0.07140266505417614
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	total_words	50	-0.19384673834268895	0.19384673834268895
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	unique_word_rate	50	0.1469201764790541	0.1469201764790541
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	first_person_rate_per_1k	50	0.03263796710453378	0.03263796710453378
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	we_rate_per_1k	50	0.2865804939026753	0.2865804939026753
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	social_word_rate_per_1k	50	0.2281032895898497	0.2281032895898497
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	exclamation_rate_per_1k	50	-0.242757936317937	0.242757936317937
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	question_rate_per_1k	50	0.018955284975599427	0.018955284975599427
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	section_words_mean	50	-0.19384673834268895	0.19384673834268895
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	section_words_sd	50	-0.2823230527592051	0.2823230527592051
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_A_mean	section_words_cv	50	-0.1687682110941261	0.1687682110941261
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	total_words	50	0.00784671064388501	0.00784671064388501
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	unique_word_rate	50	0.16116141425401065	0.16116141425401065
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	first_person_rate_per_1k	50	-0.13098859443787592	0.13098859443787592
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	we_rate_per_1k	50	0.2576319315622624	0.2576319315622624
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	social_word_rate_per_1k	50	0.023864120564182	0.023864120564182
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	exclamation_rate_per_1k	50	0.05983689573664332	0.05983689573664332
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	question_rate_per_1k	50	-0.35423213637902684	0.35423213637902684
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	section_words_mean	50	0.00784671064388501	0.00784671064388501
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	section_words_sd	50	-0.13297601013319352	0.13297601013319352
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_C_mean	section_words_cv	50	-0.03404254814316189	0.03404254814316189
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	total_words	50	0.14153055166168713	0.14153055166168713
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	unique_word_rate	50	0.03578313268078462	0.03578313268078462
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	first_person_rate_per_1k	50	-0.2433199103885354	0.2433199103885354
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	we_rate_per_1k	50	0.15272220870946504	0.15272220870946504
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	social_word_rate_per_1k	50	0.16486878370272415	0.16486878370272415
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	exclamation_rate_per_1k	50	-0.025059090506636607	0.025059090506636607
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	question_rate_per_1k	50	-0.04158241086041664	0.04158241086041664
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	section_words_mean	50	0.14153055166168713	0.14153055166168713
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	section_words_sd	50	-0.06253631902902881	0.06253631902902881
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_OP_mean	section_words_cv	50	-0.08310142142268616	0.08310142142268616
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	total_words	50	0.11258244793170841	0.11258244793170841
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	unique_word_rate	50	-0.11850693968565677	0.11850693968565677
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	first_person_rate_per_1k	50	-0.33328923164893864	0.33328923164893864
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	we_rate_per_1k	50	0.4034692794609829	0.4034692794609829
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	social_word_rate_per_1k	50	0.24159891811182946	0.24159891811182946
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	exclamation_rate_per_1k	50	0.23736824560515685	0.23736824560515685
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	question_rate_per_1k	50	0.1460004994685131	0.1460004994685131
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	section_words_mean	50	0.11258244793170841	0.11258244793170841
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	section_words_sd	50	0.19826938419753393	0.19826938419753393
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_HH_mean	section_words_cv	50	0.20669971628648193	0.20669971628648193
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	total_words	50	0.10964580055550988	0.10964580055550988
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	unique_word_rate	50	-0.22743169807251132	0.22743169807251132
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	first_person_rate_per_1k	50	0.19989510993990564	0.19989510993990564
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	we_rate_per_1k	50	0.0416883190884434	0.0416883190884434
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	social_word_rate_per_1k	50	0.16562079275967212	0.16562079275967212
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	exclamation_rate_per_1k	50	-0.10618143782688823	0.10618143782688823
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	question_rate_per_1k	50	-0.04024457801730116	0.04024457801730116
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	section_words_mean	50	0.10964580055550988	0.10964580055550988
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	section_words_sd	50	0.01448866055702788	0.01448866055702788
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_E_mean	section_words_cv	50	0.020955509038255524	0.020955509038255524
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	total_words	50	-0.28373907384479535	0.28373907384479535
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	unique_word_rate	50	0.28505687893963966	0.28505687893963966
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	first_person_rate_per_1k	50	-0.2104573752302323	0.2104573752302323
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	we_rate_per_1k	50	0.36214680289958656	0.36214680289958656
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	social_word_rate_per_1k	50	0.2019270863217213	0.2019270863217213
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	exclamation_rate_per_1k	50	0.07426294950404522	0.07426294950404522
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	question_rate_per_1k	50	-0.0628440981196565	0.0628440981196565
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	section_words_mean	50	-0.28373907384479535	0.28373907384479535
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	section_words_sd	50	-0.23933995909243183	0.23933995909243183
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_EX_mean	section_words_cv	50	-0.2476333794867626	0.2476333794867626
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	total_words	50	-0.0023315262935471575	0.0023315262935471575
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	unique_word_rate	50	-0.0924722884596564	0.0924722884596564
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	first_person_rate_per_1k	50	-0.10520350961910509	0.10520350961910509
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	we_rate_per_1k	50	0.30803409140858373	0.30803409140858373
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	social_word_rate_per_1k	50	0.40988019755032085	0.40988019755032085
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	exclamation_rate_per_1k	50	0.206502863602463	0.206502863602463
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	question_rate_per_1k	50	0.222528889201595	0.222528889201595
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	section_words_mean	50	-0.0023315262935471575	0.0023315262935471575
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	section_words_sd	50	0.1713638845060522	0.1713638845060522
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_A_mean	section_words_cv	50	0.15997905765090042	0.15997905765090042
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	total_words	50	0.3231914556254936	0.3231914556254936
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	unique_word_rate	50	-0.07201584556729963	0.07201584556729963
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	first_person_rate_per_1k	50	-0.11698440028937389	0.11698440028937389
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	we_rate_per_1k	50	-0.017342981122519516	0.017342981122519516
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	social_word_rate_per_1k	50	0.33444720704038516	0.33444720704038516
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	exclamation_rate_per_1k	50	-0.0293475446235323	0.0293475446235323
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	question_rate_per_1k	50	0.11966008116853488	0.11966008116853488
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	section_words_mean	50	0.3231914556254936	0.3231914556254936
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	section_words_sd	50	0.19618250983817545	0.19618250983817545
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_C_mean	section_words_cv	50	0.17083408888654478	0.17083408888654478
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	total_words	50	0.036819193476830867	0.036819193476830867
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	unique_word_rate	50	0.0225532426232804	0.0225532426232804
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	first_person_rate_per_1k	50	-0.19112322071218704	0.19112322071218704
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	we_rate_per_1k	50	0.03703407276852672	0.03703407276852672
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	social_word_rate_per_1k	50	0.2013845644077607	0.2013845644077607
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	exclamation_rate_per_1k	50	0.15466345792730174	0.15466345792730174
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	question_rate_per_1k	50	0.1259929558739158	0.1259929558739158
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	section_words_mean	50	0.036819193476830867	0.036819193476830867
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	section_words_sd	50	0.11249924878315488	0.11249924878315488
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	psych	psychometric_only	HEXACO_OP_mean	section_words_cv	50	0.10171725292501557	0.10171725292501557
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	total_words	50	-0.24394264092052614	0.24394264092052614
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	unique_word_rate	50	0.16441758126864955	0.16441758126864955
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	first_person_rate_per_1k	50	-0.16283694546331953	0.16283694546331953
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	we_rate_per_1k	50	0.34821612251342815	0.34821612251342815
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	social_word_rate_per_1k	50	0.2336601919583105	0.2336601919583105
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	exclamation_rate_per_1k	50		
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	question_rate_per_1k	50	0.09322492510992192	0.09322492510992192
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	section_count	50		
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	section_words_mean	50	-0.24394264092052614	0.24394264092052614
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	section_words_sd	50	-0.2899945954908904	0.2899945954908904
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_HH_mean	section_words_cv	50	-0.24382075686438975	0.24382075686438975
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	total_words	50	0.13926431415307622	0.13926431415307622
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	unique_word_rate	50	-0.06050295658567745	0.06050295658567745
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	first_person_rate_per_1k	50	-0.03180290591366752	0.03180290591366752
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	we_rate_per_1k	50	0.15180524801433565	0.15180524801433565
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	social_word_rate_per_1k	50	0.14921489856713258	0.14921489856713258
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	exclamation_rate_per_1k	50		
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	question_rate_per_1k	50	0.028377780023291364	0.028377780023291364
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	section_count	50		
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	section_words_mean	50	0.13926431415307622	0.13926431415307622
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	section_words_sd	50	-0.03920156850593696	0.03920156850593696
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_E_mean	section_words_cv	50	-0.10068365190889046	0.10068365190889046
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	total_words	50	-0.09960969464334749	0.09960969464334749
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	unique_word_rate	50	0.11671520372000056	0.11671520372000056
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	first_person_rate_per_1k	50	-0.00283227862912682	0.00283227862912682
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	we_rate_per_1k	50	0.2449031567605893	0.2449031567605893
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	social_word_rate_per_1k	50	0.3600844600405165	0.3600844600405165
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	exclamation_rate_per_1k	50		
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	question_rate_per_1k	50	-0.006201191509364482	0.006201191509364482
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	section_count	50		
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	section_words_mean	50	-0.09960969464334749	0.09960969464334749
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	section_words_sd	50	-0.0328355538146265	0.0328355538146265
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_EX_mean	section_words_cv	50	-0.01944449869943273	0.01944449869943273
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_A_mean	total_words	50	-0.00659348351542647	0.00659348351542647
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_A_mean	unique_word_rate	50	0.16490534298929196	0.16490534298929196
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_A_mean	first_person_rate_per_1k	50	0.03417800165926951	0.03417800165926951
lsi	kimi_k26	Kimi K2.6	moonshotai/kimi-k2.6	interwoven	interwoven_biography	HEXACO_A_mean	we_rate_per_1k	50	0.4841750597190736	0.4841750597190736
