stage	character	object	scorer	all_dimensions_r_to_name_fact_target	all_dimensions_mae	hexaco_r_to_name_fact_target	hexaco_mae	beyond_hexaco_r_to_name_fact_target	beyond_hexaco_mae
profile	Haruki Minamoto	opus_4_6_psych_only	grok_4_20	0.933	0.279	0.943	0.422	0.980	0.107
profile	Haruki Minamoto	opus_4_6_psych_only	minimax_m3	0.948	0.376	0.955	0.439	0.952	0.300
profile	Haruki Minamoto	gemma_4_31b_interwoven_bio	sonnet_4_6	0.876	0.458	0.854	0.400	0.954	0.527
profile	Haruki Minamoto	gemma_4_31b_interwoven_bio	gemini_3_flash	0.915	0.336	0.952	0.294	0.978	0.387
profile	Haruki Minamoto	gemma_4_31b_interwoven_bio	grok_4_20	0.926	0.449	0.939	0.417	0.974	0.487
profile	Haruki Minamoto	gemma_4_31b_interwoven_bio	minimax_m3	0.886	0.449	0.880	0.367	0.943	0.547
profile	Haruki Minamoto	opus_4_6_interwoven_bio	sonnet_4_6	0.955	0.403	0.944	0.384	0.982	0.427
profile	Haruki Minamoto	opus_4_6_interwoven_bio	gemini_3_flash	0.948	0.255	0.921	0.311	0.999	0.187
profile	Haruki Minamoto	opus_4_6_interwoven_bio	grok_4_20	0.932	0.303	0.913	0.250	0.975	0.367
profile	Haruki Minamoto	opus_4_6_interwoven_bio	minimax_m3	0.937	0.333	0.923	0.317	0.964	0.353
profile	Haruki Minamoto	gemma_4_31b_psych_only	sonnet_4_6	0.858	0.482	0.969	0.395	0.954	0.587
profile	Haruki Minamoto	gemma_4_31b_psych_only	gemini_3_flash	0.820	0.594	0.973	0.517	0.946	0.687
profile	Haruki Minamoto	gemma_4_31b_psych_only	grok_4_20	0.873	0.539	0.974	0.500	0.970	0.587
profile	Haruki Minamoto	gemma_4_31b_psych_only	minimax_m3	0.840	0.455	0.934	0.394	0.940	0.527
profile	Haruki Minamoto	minimax_m3_interwoven_bio	sonnet_4_6	0.956	0.424	0.961	0.417	0.961	0.433
profile	Haruki Minamoto	minimax_m3_interwoven_bio	gemini_3_flash	0.901	0.330	0.953	0.284	0.898	0.387
profile	Haruki Minamoto	minimax_m3_interwoven_bio	grok_4_20	0.964	0.388	0.984	0.384	0.967	0.393
profile	Haruki Minamoto	minimax_m3_interwoven_bio	minimax_m3	0.840	0.403	0.833	0.378	0.954	0.433
profile	Haruki Minamoto	minimax_m3_psych_only	sonnet_4_6	0.956	0.403	0.953	0.345	0.975	0.473
profile	Haruki Minamoto	minimax_m3_psych_only	gemini_3_flash	0.901	0.403	0.952	0.294	0.930	0.533
profile	Haruki Minamoto	minimax_m3_psych_only	grok_4_20	0.944	0.297	0.957	0.284	0.936	0.313
profile	Haruki Minamoto	minimax_m3_psych_only	minimax_m3	0.856	0.394	0.796	0.378	0.953	0.413
profile	Roxy Saint-Clair	gemma_4_31b_interwoven_bio	sonnet_4_6	0.790	0.767	0.845	0.711	0.947	0.834
profile	Roxy Saint-Clair	gemma_4_31b_interwoven_bio	gemini_3_flash	0.789	0.794	0.817	0.744	0.941	0.854
profile	Roxy Saint-Clair	gemma_4_31b_interwoven_bio	grok_4_20	0.803	0.630	0.924	0.578	0.915	0.694
profile	Roxy Saint-Clair	gemma_4_31b_interwoven_bio	minimax_m3	0.815	0.694	0.921	0.711	0.929	0.674
profile	Roxy Saint-Clair	gemma_4_31b_psych_only	sonnet_4_6	0.849	0.694	0.892	0.578	0.924	0.834
profile	Roxy Saint-Clair	gemma_4_31b_psych_only	gemini_3_flash	0.838	0.685	0.958	0.594	0.912	0.794
profile	Roxy Saint-Clair	gemma_4_31b_psych_only	grok_4_20	0.813	0.585	0.839	0.494	0.915	0.694
profile	Roxy Saint-Clair	gemma_4_31b_psych_only	minimax_m3	0.888	0.661	0.930	0.567	0.916	0.774
profile	Roxy Saint-Clair	opus_4_6_psych_only	sonnet_4_6	0.932	0.436	0.949	0.483	0.935	0.380
profile	Roxy Saint-Clair	opus_4_6_psych_only	gemini_3_flash	0.838	0.476	0.906	0.467	0.880	0.487
profile	Roxy Saint-Clair	opus_4_6_psych_only	grok_4_20	0.893	0.355	0.927	0.333	0.891	0.380
profile	Roxy Saint-Clair	opus_4_6_psych_only	minimax_m3	0.905	0.358	0.934	0.400	0.947	0.307
profile	Roxy Saint-Clair	opus_4_6_interwoven_bio	sonnet_4_6	0.965	0.306	0.962	0.383	0.998	0.214
profile	Roxy Saint-Clair	opus_4_6_interwoven_bio	gemini_3_flash	0.906	0.412	0.925	0.417	0.979	0.407
profile	Roxy Saint-Clair	opus_4_6_interwoven_bio	grok_4_20	0.954	0.285	0.962	0.300	0.979	0.267
profile	Roxy Saint-Clair	opus_4_6_interwoven_bio	minimax_m3	0.956	0.358	0.950	0.450	0.994	0.247
profile	Roxy Saint-Clair	minimax_m3_psych_only	sonnet_4_6	0.908	0.627	0.956	0.594	0.877	0.667
profile	Roxy Saint-Clair	minimax_m3_psych_only	gemini_3_flash	0.823	0.506	0.979	0.411	0.660	0.620
profile	Roxy Saint-Clair	minimax_m3_psych_only	grok_4_20	0.943	0.645	0.984	0.661	0.915	0.627
profile	Roxy Saint-Clair	minimax_m3_psych_only	minimax_m3	0.827	0.664	0.864	0.611	0.827	0.727
profile	Roxy Saint-Clair	minimax_m3_interwoven_bio	sonnet_4_6	0.837	0.721	0.961	0.761	0.930	0.674
profile	Roxy Saint-Clair	minimax_m3_interwoven_bio	gemini_3_flash	0.878	0.539	0.964	0.544	0.941	0.534
profile	Roxy Saint-Clair	minimax_m3_interwoven_bio	grok_4_20	0.871	0.630	0.984	0.661	0.915	0.594
profile	Roxy Saint-Clair	minimax_m3_interwoven_bio	minimax_m3	0.869	0.558	0.890	0.561	0.940	0.554
lsi	Cillian Frost	opus_4_6_psych_only	sonnet_4_6	0.946	0.449	0.971	0.478	0.757	0.413
lsi	Cillian Frost	opus_4_6_psych_only	gemini_3_flash	0.958	0.458	0.979	0.444	0.856	0.473
lsi	Cillian Frost	opus_4_6_psych_only	grok_4_20	0.954	0.473	0.998	0.305	0.845	0.673
lsi	Cillian Frost	opus_4_6_psych_only	minimax_m3	0.942	0.391	0.978	0.389	0.635	0.393
lsi	Cillian Frost	gemma_4_31b_psych_only	sonnet_4_6	0.898	0.567	0.962	0.528	0.830	0.613
lsi	Cillian Frost	gemma_4_31b_psych_only	gemini_3_flash	0.945	0.567	0.980	0.544	0.861	0.593
lsi	Cillian Frost	gemma_4_31b_psych_only	grok_4_20	0.858	0.606	0.952	0.550	0.737	0.673
lsi	Cillian Frost	gemma_4_31b_psych_only	minimax_m3	0.946	0.491	0.983	0.489	0.908	0.493
lsi	Cillian Frost	opus_4_6_interwoven_bio	sonnet_4_6	0.813	0.485	0.952	0.383	-0.385	0.607
lsi	Cillian Frost	opus_4_6_interwoven_bio	gemini_3_flash	0.815	0.412	0.957	0.383	-0.285	0.447
lsi	Cillian Frost	opus_4_6_interwoven_bio	grok_4_20	0.870	0.439	0.952	0.489	0.038	0.380
lsi	Cillian Frost	opus_4_6_interwoven_bio	minimax_m3	0.867	0.464	0.969	0.389	0.102	0.553
lsi	Cillian Frost	gemma_4_31b_interwoven_bio	sonnet_4_6	0.903	0.585	0.960	0.528	0.808	0.653
lsi	Cillian Frost	gemma_4_31b_interwoven_bio	gemini_3_flash	0.935	0.618	0.970	0.489	0.842	0.773
lsi	Cillian Frost	gemma_4_31b_interwoven_bio	grok_4_20	0.861	0.558	0.930	0.444	0.729	0.693
lsi	Cillian Frost	gemma_4_31b_interwoven_bio	minimax_m3	0.890	0.576	0.952	0.461	0.781	0.713
lsi	Cillian Frost	minimax_m3_psych_only	sonnet_4_6	0.905	0.503	0.966	0.444	0.873	0.573
lsi	Cillian Frost	minimax_m3_psych_only	gemini_3_flash	0.972	0.458	0.990	0.361	0.944	0.573
lsi	Cillian Frost	minimax_m3_psych_only	grok_4_20	0.900	0.355	0.971	0.306	0.528	0.413
lsi	Cillian Frost	minimax_m3_psych_only	minimax_m3	0.936	0.358	0.961	0.378	0.702	0.333
lsi	Cillian Frost	minimax_m3_interwoven_bio	sonnet_4_6	0.932	0.330	0.953	0.428	0.770	0.213
lsi	Cillian Frost	minimax_m3_interwoven_bio	gemini_3_flash	0.938	0.464	0.954	0.455	0.793	0.473
lsi	Cillian Frost	minimax_m3_interwoven_bio	grok_4_20	0.927	0.388	0.953	0.317	0.717	0.473
lsi	Cillian Frost	minimax_m3_interwoven_bio	minimax_m3	0.929	0.297	0.966	0.311	0.458	0.280
lsi	Haruki Minamoto	gemma_4_31b_psych_only	sonnet_4_6	0.881	0.485	0.886	0.383	0.939	0.607
lsi	Haruki Minamoto	gemma_4_31b_psych_only	gemini_3_flash	0.902	0.485	0.935	0.400	0.946	0.587
lsi	Haruki Minamoto	gemma_4_31b_psych_only	grok_4_20	0.838	0.630	0.974	0.500	0.916	0.787
lsi	Haruki Minamoto	gemma_4_31b_psych_only	minimax_m3	0.899	0.530	0.917	0.400	0.946	0.687
lsi	Haruki Minamoto	opus_4_6_psych_only	sonnet_4_6	0.935	0.403	0.986	0.461	0.884	0.333
lsi	Haruki Minamoto	opus_4_6_psych_only	gemini_3_flash	0.744	0.524	0.997	0.411	0.228	0.660
lsi	Haruki Minamoto	opus_4_6_psych_only	grok_4_20	0.874	0.433	0.987	0.428	0.705	0.440
lsi	Haruki Minamoto	opus_4_6_psych_only	minimax_m3	0.895	0.437	0.985	0.445	0.763	0.427
lsi	Haruki Minamoto	gemma_4_31b_interwoven_bio	sonnet_4_6	0.876	0.539	0.833	0.450	0.953	0.647
lsi	Haruki Minamoto	gemma_4_31b_interwoven_bio	gemini_3_flash	0.929	0.349	0.915	0.300	0.961	0.407
lsi	Haruki Minamoto	gemma_4_31b_interwoven_bio	grok_4_20	0.911	0.449	0.870	0.417	0.974	0.487
lsi	Haruki Minamoto	gemma_4_31b_interwoven_bio	minimax_m3	0.819	0.594	0.710	0.584	0.949	0.607
lsi	Haruki Minamoto	opus_4_6_interwoven_bio	sonnet_4_6	0.930	0.403	0.908	0.417	0.960	0.387
lsi	Haruki Minamoto	opus_4_6_interwoven_bio	gemini_3_flash	0.916	0.279	0.907	0.344	0.961	0.200
lsi	Haruki Minamoto	opus_4_6_interwoven_bio	grok_4_20	0.910	0.294	0.910	0.367	0.926	0.207
lsi	Haruki Minamoto	opus_4_6_interwoven_bio	minimax_m3	0.894	0.403	0.841	0.384	0.964	0.427
lsi	Haruki Minamoto	minimax_m3_psych_only	sonnet_4_6	0.945	0.236	0.934	0.317	0.987	0.140
lsi	Haruki Minamoto	minimax_m3_psych_only	gemini_3_flash	0.835	0.291	0.945	0.267	0.862	0.320
lsi	Haruki Minamoto	minimax_m3_psych_only	grok_4_20	0.827	0.309	0.954	0.234	0.820	0.400
lsi	Haruki Minamoto	minimax_m3_psych_only	minimax_m3	0.945	0.200	0.951	0.228	0.962	0.167
lsi	Haruki Minamoto	minimax_m3_interwoven_bio	sonnet_4_6	0.854	0.339	0.933	0.317	0.858	0.367
lsi	Haruki Minamoto	minimax_m3_interwoven_bio	gemini_3_flash	0.533	0.533	0.884	0.434	-0.629	0.653
lsi	Haruki Minamoto	minimax_m3_interwoven_bio	grok_4_20	0.866	0.288	0.933	0.284	0.917	0.293
lsi	Haruki Minamoto	minimax_m3_interwoven_bio	minimax_m3	0.568	0.521	0.761	0.500	0.008	0.547
lsi	Roxy Saint-Clair	gemma_4_31b_psych_only	sonnet_4_6	0.868	0.779	0.847	0.733	0.942	0.834
lsi	Roxy Saint-Clair	gemma_4_31b_psych_only	gemini_3_flash	0.922	0.688	0.896	0.667	0.948	0.714
lsi	Roxy Saint-Clair	gemma_4_31b_psych_only	grok_4_20	0.890	0.615	0.886	0.583	0.916	0.654
lsi	Roxy Saint-Clair	gemma_4_31b_psych_only	minimax_m3	0.864	0.761	0.814	0.717	0.923	0.814
lsi	Roxy Saint-Clair	gemma_4_31b_interwoven_bio	sonnet_4_6	0.907	0.752	0.863	0.700	0.947	0.814
lsi	Roxy Saint-Clair	gemma_4_31b_interwoven_bio	gemini_3_flash	0.922	0.585	0.922	0.550	0.954	0.627
lsi	Roxy Saint-Clair	gemma_4_31b_interwoven_bio	grok_4_20	0.889	0.615	0.876	0.600	0.903	0.634
lsi	Roxy Saint-Clair	gemma_4_31b_interwoven_bio	minimax_m3	0.866	0.815	0.810	0.800	0.923	0.834
lsi	Roxy Saint-Clair	opus_4_6_interwoven_bio	sonnet_4_6	0.919	0.327	0.961	0.400	0.940	0.240
lsi	Roxy Saint-Clair	opus_4_6_interwoven_bio	gemini_3_flash	0.735	0.509	0.953	0.517	0.587	0.500
lsi	Roxy Saint-Clair	opus_4_6_interwoven_bio	grok_4_20	0.881	0.336	0.971	0.367	0.915	0.300
lsi	Roxy Saint-Clair	opus_4_6_interwoven_bio	minimax_m3	0.778	0.449	0.873	0.550	0.844	0.327
lsi	Roxy Saint-Clair	opus_4_6_psych_only	sonnet_4_6	0.726	0.497	0.948	0.500	0.418	0.493
lsi	Roxy Saint-Clair	opus_4_6_psych_only	gemini_3_flash	0.539	0.551	0.938	0.583	-0.555	0.513
lsi	Roxy Saint-Clair	opus_4_6_psych_only	grok_4_20	0.762	0.433	0.959	0.450	0.537	0.413
lsi	Roxy Saint-Clair	opus_4_6_psych_only	minimax_m3	0.747	0.433	0.963	0.483	0.523	0.373
lsi	Roxy Saint-Clair	minimax_m3_interwoven_bio	sonnet_4_6	0.918	0.633	0.906	0.633	0.938	0.634
lsi	Roxy Saint-Clair	minimax_m3_interwoven_bio	gemini_3_flash	0.912	0.494	0.942	0.483	0.948	0.507
lsi	Roxy Saint-Clair	minimax_m3_interwoven_bio	grok_4_20	0.919	0.561	0.918	0.617	0.951	0.494
lsi	Roxy Saint-Clair	minimax_m3_interwoven_bio	minimax_m3	0.894	0.461	0.877	0.533	0.932	0.374
lsi	Roxy Saint-Clair	minimax_m3_psych_only	sonnet_4_6	0.804	0.500	0.869	0.600	0.931	0.380
lsi	Roxy Saint-Clair	minimax_m3_psych_only	gemini_3_flash	0.686	0.479	0.959	0.450	0.211	0.513
lsi	Roxy Saint-Clair	minimax_m3_psych_only	grok_4_20	0.807	0.482	0.958	0.450	0.677	0.520
lsi	Roxy Saint-Clair	minimax_m3_psych_only	minimax_m3	0.715	0.503	0.820	0.639	0.843	0.340
